case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,437.0,0.05812511288005114,0.056539155319364306,-0.0015859575606868362,0.001278327755932762,-1.2406501801485212
io_backbone_control,TT,446.0,0.05851943186525255,0.05653261422673886,-0.001986817638513688,0.00126411733312505,-1.5717035012897387
io_backbone_control,TT,455.0,0.06195671302334219,0.05686627781787085,-0.005090435205471346,0.00125128453964713,-4.068167586332426
io_backbone_control,TT,464.0,0.06478587456759065,0.0573221343940266,-0.0074637401735640485,0.001242923212029189,-6.004988965793624
io_backbone_control,TT,473.0,0.06104449124977738,0.057766903475028025,-0.0032775877747493534,0.001238921676468588,-2.6455165302230905
io_backbone_control,TT,482.0,0.06270495142447949,0.05808860544871995,-0.0046163459757595365,0.001229787893552962,-3.753774126384119
io_backbone_control,TT,491.0,0.06290931140393764,0.05817541662290229,-0.00473389478103535,0.001213769361932046,-3.9001600547076434
io_backbone_control,TT,500.0,0.06138341791852563,0.057929045310854264,-0.0034543726076713688,0.001194677525026521,-2.891468647654256
io_backbone_control,TT,509.0,0.06239310712137074,0.057321042331045804,-0.0050720647903249386,0.001171060526502252,-4.331172194382034
io_backbone_control,TT,518.0,0.05979577876007557,0.05636069210671311,-0.003435086653362465,0.001141726993620449,-3.0086760430089394
io_backbone_control,TT,527.0,0.05824024254436046,0.055058634155799306,-0.003181608388561151,0.001107135191786028,-2.873730698984094
io_backbone_control,TT,536.0,0.05509682698299736,0.053427283680627435,-0.0016695433023699233,0.001062597633426298,-1.5711904956785538
io_backbone_control,TT,545.0,0.053191784166947,0.05150209307442633,-0.0016896910925206649,0.001017840859560715,-1.6600739463828464
io_backbone_control,TT,554.0,0.05244848086113483,0.04934435450977193,-0.003104126351362896,0.0009669563530367355,-3.2102031716471564
io_backbone_control,TT,563.0,0.05037902019516378,0.047018079823971146,-0.003360940371192632,0.0009152573018365288,-3.6721262583195635
io_backbone_control,TT,572.0,0.0461966987349391,0.04458725681703019,-0.0016094419179089048,0.000859891622535776,-1.8716799602753935
io_backbone_control,TT,581.0,0.04478373579305411,0.04211479749484021,-0.0026689382982138937,0.0008068245057488307,-3.307953934464096
io_backbone_control,TT,590.0,0.04276831845684349,0.03966109683845016,-0.00310722161839333,0.0007540673916658675,-4.120615282844854
io_backbone_control,TT,599.0,0.03857435315988213,0.03728591633064815,-0.001288436829233977,0.0007028011848234759,-1.8332877875804898
io_backbone_control,TT,608.0,0.03596941362068057,0.035049003535753395,-0.0009204100849271729,0.000653735851188565,-1.4079235263811283
io_backbone_control,TT,617.0,0.03518814504199475,0.033005119710011556,-0.002183025331983196,0.0006084331959003034,-3.587945803570031
io_backbone_control,TT,626.0,0.03123482914682478,0.031183255149772417,-5.1573997052363485e-05,0.0005664287145478349,-0.09105116977258762
io_backbone_control,TT,635.0,0.03015397089019418,0.029598457799322176,-0.0005555130908720049,0.0005294457555147551,-1.049235138983985
io_backbone_control,TT,644.0,0.028133495621752,0.028265274351928764,0.00013177873017676534,0.0004987029969875261,0.26424290804905964
io_backbone_control,TT,653.0,0.02717538679072261,0.027196979432053285,2.159264133067343e-05,0.0004717855403351657,0.04576791674313204
io_backbone_control,TT,662.0,0.02645775141010433,0.026390321812788303,-6.74295973160273e-05,0.0004499521223802409,-0.14985949384864683
io_backbone_control,TT,671.0,0.02529030572607368,0.025823491618395217,0.0005331858923215381,0.0004315565252989772,1.2354949144892509
io_backbone_control,TT,680.0,0.02388777129273116,0.025472723585870275,0.0015849522931391143,0.0004187650892284482,3.7848243177560534
io_backbone_control,TT,689.0,0.02408557667331025,0.02531416442689134,0.0012285877535810896,0.0004092935262845204,3.001727793581169
io_backbone_control,TT,698.0,0.02427387122662738,0.025320113759248485,0.0010462425326211063,0.0004030158344615187,2.59603331471832
io_backbone_control,TT,707.0,0.02373656638839469,0.025453863527662192,0.0017172971392675034,0.0003993442941382817,4.300292165118181
io_backbone_control,TT,716.0,0.02336150088305026,0.025676434946298073,0.002314934063247811,0.0003986082078299454,5.807542388177341
io_backbone_control,TT,725.0,0.02380640044993535,0.025948837195519492,0.0021424367455841406,0.000398036493129882,5.382513368906225
io_backbone_control,TT,734.0,0.02387604389151558,0.026232989644824973,0.002356945753309393,0.0003988729791192698,5.909013336811232
io_backbone_control,TT,743.0,0.02483248598745465,0.026495520647469566,0.001663034660014915,0.0003998145275662283,4.159515338620199
io_backbone_control,TT,752.0,0.02507702401586622,0.026705608509044826,0.0016285844931786045,0.0004009371808096612,4.061944292344765
io_backbone_control,TT,761.0,0.02540446069647744,0.026832523202872785,0.0014280625063953466,0.0004008061923237572,3.562975157933208
io_backbone_control,TT,770.0,0.02485440715008229,0.026846457421069614,0.001992050270987325,0.0003994689003938222,4.986746825656349
io_backbone_control,TT,779.0,0.02431014801866934,0.026729602104249565,0.002419454085580225,0.0003981181091193325,6.077226908698631
io_backbone_control,TT,788.0,0.02507295282733068,0.026477633598610058,0.001404680771279379,0.000394308238978902,3.5623926472267766
io_backbone_control,TT,797.0,0.02437114974038675,0.02608765019157158,0.0017165004511848284,0.0003875355095340093,4.429272696194546
io_backbone_control,TT,806.0,0.02408984018477798,0.025556843950000258,0.0014670037652222793,0.0003801696388035271,3.8588135807984174
io_backbone_control,TT,815.0,0.02411774002204835,0.024886515051153996,0.0007687750291056443,0.0003705793837681957,2.074521850860779
io_backbone_control,TT,824.0,0.02330828883974627,0.02408758993586847,0.0007793010961222001,0.0003594321329814828,2.1681453176095085
io_backbone_control,TT,833.0,0.02256535599678382,0.023173423424688006,0.0006080674279041846,0.0003463389663828179,1.7557003020909612
io_backbone_control,TT,842.0,0.02217834580693766,0.022157387487919566,-2.0958319018094668e-05,0.0003320128215261729,-0.06312502909301804
io_backbone_control,TT,851.0,0.02065194595587254,0.021053982711926135,0.0004020367560535962,0.0003157974364043174,1.273084292992379
io_backbone_control,TT,860.0,0.01998803305628151,0.01988355171183028,-0.00010448134445122798,0.0002997681155168007,-0.34854055199000056
io_backbone_control,TT,869.0,0.01859462831505761,0.018669602834823364,7.497451976575323e-05,0.0002822539839690236,0.26562785301192215
io_backbone_control,TT,878.0,0.0176527401544638,0.017435758484278936,-0.00021698167018486397,0.0002645666184633945,-0.8201400140542885
io_backbone_control,TT,887.0,0.01654220513862744,0.0162054139458303,-0.00033679119279713884,0.0002472286375259286,-1.3622661038279484
