ell,Dl_TT_io_backbone_control,Dl_TE_io_backbone_control,Dl_EE_io_backbone_control,Dl_TT_io_conditional_structured,Dl_TE_io_conditional_structured,Dl_EE_io_conditional_structured,Dl_TT_lcdm_planck_reference,Dl_TE_lcdm_planck_reference,Dl_EE_lcdm_planck_reference
1048,1112.4752541070902,-65.81169990117196,29.846354241027683,1090.0222957493029,-69.65398056781993,32.02582690355856,1079.4375107544067,-71.33041461668284,34.25730069045814
1049,1114.893522182502,-66.10684618655515,29.589182873800294,1092.2455326086001,-70.01034574626628,31.76302911113354,1081.7297684660498,-71.8944449332662,33.99982735746882
1050,1117.3374583916918,-66.37961777210337,29.33138696097453,1094.4971405247536,-70.34446225526015,31.49912360680001,1084.0702921107738,-72.4364364297246,33.740089852397695
1051,1119.8050280218865,-66.63011348577524,29.07306127402578,1096.7751259710617,-70.65640481872832,31.234208929040328,1086.4568154829878,-72.95631452030754,33.47819343164191
1052,1122.294180125648,-66.85843365566153,28.81430130190569,1099.0774793975324,-70.94624947784008,30.968384377566462,1088.8870536359946,-73.45400481020182,33.21424420191053
1053,1124.802847481712,-67.06468011414812,28.555203252733747,1101.402175192135,-71.21407359473784,30.701750015127228,1091.3587028362776,-73.92943309660014,32.948349122273534
1054,1127.3289465558273,-67.24895620207907,28.295864055489012,1103.747171642059,-71.45995585626773,30.434406669315553,1093.8694405177932,-74.3825253697701,32.68061600621084
1055,1129.8703774615904,-67.41136677291937,28.036381361701544,1106.1104108949605,-71.68397627770989,30.166455934375595,1096.4169252362578,-74.81320781412278,32.41115352366129
1056,1132.4250239212856,-67.55201819691806,27.77685354714423,1108.489818920225,-71.88621620650947,29.89800017301006,1098.9987966234394,-75.2214068092816,32.140071203071706
1057,1134.9907532267214,-67.67101836527101,27.517379713524264,1110.8833054702145,-72.06675832600672,29.629142518187376,1101.612675341445,-75.60704893115116,31.867479433445837
1058,1137.565416200068,-67.76847669428402,27.2580596901748,1113.288764041525,-72.22568665916789,29.359986874948895,1104.2561630370126,-75.97006095298583,31.59348946639343
1059,1140.1468471546962,-67.84450412953565,26.99899403574659,1115.7040718362396,-72.36308657231561,29.090637922216164,1106.9268422957985,-76.31036984645877,31.318213418179198
1060,1142.7328638560136,-67.89921315004027,26.740284039899585,1118.127089723183,-72.47904477885949,28.821201114598082,1109.622276596668,-76.62790278273047,31.041764271771846
1061,1145.3212674823023,-67.93271777241085,26.48203172499453,1120.555662199174,-72.57364934302663,28.551782684198162,1112.3400102659848,-76.9225871335177,30.764255878893085
1062,1147.9098425855582,-67.9451335550221,26.224339847784663,1122.9876173502828,-72.6469896835923,28.28248964242174,1115.0775684319005,-77.19435047216226,30.485802962066654
1063,1150.4963570523264,-67.93657760217319,25.967311901107227,1125.4207668130805,-72.69915657761032,28.01342978178318,1117.832456978644,-77.44312057469962,30.206521116667275
1064,1153.0785620645402,-67.9071685682509,25.71105211557516,1127.8529057358976,-72.73024216414377,27.74471167771311,1120.6021625008104,-77.66882542092785,29.926526812969733
1065,1155.654192060358,-67.85702666189246,25.455665461268683,1130.2818127400744,-72.74033994799542,27.47644469036561,1123.3841522576524,-77.87139319547637,29.64593739819784
1066,1158.2209646950018,-67.78627365014853,25.201257649426942,1132.7052498812177,-72.72954480343839,27.208738966425496,1126.1758741273684,-78.05075228887466,29.364871098573495
1067,1160.776580801594,-67.6950328626461,24.947935134139588,1135.1209626104533,-72.69795297794661,26.94170544091545,1128.9747565613911,-78.20683129862108,29.0834470213656
1068,1163.3187243519953,-67.58342919575145,24.695805114038443,1137.526679735681,-72.64566209592549,26.67545583900331,1131.7782085386793,-78.33955903025162,28.80178515693918
1069,1165.845062417642,-67.45158911673309,24.444975533989055,1139.920113382827,-72.57277116244228,26.41010267780923,1134.5836195200056,-78.44886449840875,28.52000638080431
1070,1168.3532451303847,-67.2996406679248,24.1955550867824,1142.2989589571,-72.47938056695686,26.145759268212995,1137.3883594022477,-78.53467692791014,28.238232455665194
1071,1170.8409056433243,-67.12771347088841,23.947653214826406,1144.660895104244,-72.36559208705212,25.882539716661096,1140.1897784726757,-78.59692575481739,27.956586033469097
1072,1173.3056600916505,-66.93593873057686,23.701380111837658,1147.0035836717925,-72.23150889216461,25.620558926974084,1142.9852073632437,-78.63554062750491,27.675190657455435
1073,1175.745107553481,-66.72444923949715,23.45684672453296,1149.3246696703236,-72.07723554731506,25.359932602153716,1145.7721685720753,-78.65050143755428,27.394163395495312
1074,1178.1568300106949,-66.49337938187313,23.214164754320954,1151.6217812347115,-71.90287801683887,25.100777246190166,1148.5490142741237,-78.64198915631798,27.113592626134025
1075,1180.5383923097752,-66.24286513780868,22.97344665899378,1153.8925295853835,-71.70854366811679,24.843210165869298,1151.314297104641,-78.61023705438687,26.833559954136184
1076,1182.8873421226422,-65.97304408745046,22.734805654418647,1156.1345089895708,-71.49434127530537,24.587349472579827,1154.066559355891,-78.55548086428679,26.554147553045564
